No.,經號,經名,經典類別,經文基本資料_0_經號,經文基本資料_1_作譯者,經文基本資料_2_朝代,經文基本資料_3_部類,經文基本資料_4_經文結構,經文摘要_0,經文摘要_1,經文摘要_2,全文內容_0,全文內容_1,全文內容_2,全文內容_3,全文內容_4
1,T0279,《大方廣佛華嚴經》(80卷本),經典類,T0279,清 儀潤證義,唐,華嚴部類,七處九會39品,A,A,C,菩薩,法界,法界,法界,光明
2,T0475,《維摩詰所說經》,經典類,T0475,姚秦 鳩摩羅什譯，晉世 法炬共法立譯，宋 志磐謹撰 明 袾宏重訂，隋 那連提耶舍譯,清,經集部類,3卷14品,B,A,C,無明,無量,佛,菩薩,眾生
3,T0220,《大般若波羅蜜多經》,經典類,T0221,唐 玄奘譯,唐,般若部類,40卷13品,A,B,D,覺,空,無上,空,菩薩
4,T0262,《妙法蓮華經》,經典類,T0263,姚秦 鳩摩羅什譯,唐,法華部類,7卷28品,B,A,D,一稱,佛,法,法,法
5,T0374,《大般涅槃經》,經典類,T1763,北涼 曇無讖譯,劉宋,涅槃部類,上下2卷，40卷13品，600卷12會，全1卷儀軌,A,B,A,覺,長壽,槃,常住,樂
6,T2008,《六祖大師法寶壇經》,經典類,T0251,元 宗寶編,宋,禪宗部類,全1卷10品,B,A,D,無,本來,無住,慧,本自
7,T0099,《雜阿含經》,經典類,T0235,晉世 法炬共法立譯,東晉,阿含部類,100卷90品,A,A,D,法界,如是,中道,我,三蘆
8,T0125,《增壹阿含經》,經典類,T0475,東晉 瞿曇僧伽提婆譯,清,阿含部類,51卷52品,A,A,A,二諦,正精進,涅槃,身,善
9,T1509,《大智度論》,論典類,T0223,後秦 鳩摩羅什譯,清,本緣部類,100卷90品,A,B,A,業果,度,空,信,不執
10,T1564,《中論》,論典類,T1565,姚秦 鳩摩羅什譯,清,中觀部類,4卷27品,B,D,B,緣,法,常,有,空
11,T0360,《佛說無量壽經》,經典類,T0361,元 宗寶編，宋 智嚴譯,宋,經集部類,4卷27品,A,B,A,無量光,成道,願,出家,無量
12,T0366,《佛說阿彌陀經》,經典類,T1756,姚秦 鳩摩羅什譯,梁,淨土宗部類,全1卷不分品,C,A,A,西方,無,善根,念佛,樂
13,T0412,《地藏菩薩本願經》,經典類,T0412,唐 般剌蜜帝譯,唐,本緣部類,上下2卷13品,D,B,B,菩薩,眾生,罪,惡業,不修善因
