No.,經號,經名,經典類別,經文基本資料_0_經號,經文基本資料_1_作譯者,經文基本資料_2_朝代,經文基本資料_3_部類,經文基本資料_4_經文結構,經文摘要_0,經文摘要_1,經文摘要_2,全文內容_0,全文內容_1,全文內容_2,全文內容_3,全文內容_4
1,T0279,《大方廣佛華嚴經》(80卷本),經典類,T0279,唐 實叉難陀譯,唐,華嚴部類,七處九會39品,,,,,,遍一切世間,,
2,T0475,《維摩詰所說經》,經典類,T0475,姚秦 鳩摩羅什譯,姚秦,經集部類,3卷14品,,,,癡,須彌,不依,道場,
3,T0220,《大般若波羅蜜多經》,經典類,T0220,唐 玄奘譯,唐,般若部類,600卷12會,,,,,,,色即是空,般若波羅蜜多
4,T0262,《妙法蓮華經》,經典類,T0263,姚秦 鳩摩羅什譯,姚秦,法華部類,7卷28品,,,,散亂心,二乘,一大事因緣,得佛來,諸法實相
5,T0374,《大般涅槃經》,經典類,T0374,北涼 曇無讖譯,北涼,涅槃部類,,,,,阿耨多羅三藐三菩提,,,,解脫
6,T2008,《六祖大師法寶壇經》,經典類,T1567,元 宗寶編,唐,禪宗部類,全1卷10品,B,,,,菩提,無相,體,自性
7,T0099,《雜阿含經》,經典類,T0099,劉宋 求那跋陀羅譯,劉宋,阿含部類,,,,,成等正覺,,中道,,
8,T0125,《增壹阿含經》,經典類,T0125,東晉 瞿曇僧伽提婆譯,東晉,阿含部類,51卷52品,,,,,,涅槃,,諸佛教
9,T1509,《大智度論》,論典類,T0220,龍樹菩薩造 後秦 鳩摩羅什譯,後秦,般若部類,100卷90品,,,,,四悉檀,,佛法大海,般若波羅蜜
10,T1564,《中論》,論典類,T1565,龍樹菩薩造 梵志青目釋 姚秦 鳩摩羅什譯,姚秦,中觀部類,4卷27品,,,,,二諦,不生,他生,中道義
11,T0360,《佛說無量壽經》,經典類,T0361,曹魏 康僧鎧譯,曹魏,淨土宗部類,上下2卷,,,,無礙光佛,一生補處,十念,,
12,T0366,《佛說阿彌陀經》,經典類,T0366,姚秦 鳩摩羅什譯,姚秦,淨土宗部類,全1卷不分品,,,,十萬億佛土,善根福德因緣,阿耨多羅三藐三菩提,一心不亂,極樂
13,T0412,《地藏菩薩本願經》,經典類,T0412,唐 實叉難陀譯,唐,,上下2卷13品,,,,,性識無定,舉心動念,無間地獄,七分之中
14,T0450,《藥師琉璃光如來本願功德經》,經典類,T0451,唐 玄奘譯,唐,經集部類,全1卷不分品,,,,惡趣,無上菩提,藥師琉璃光如來,五色續命神旛,
15,T0945,《大佛頂如來密因修證了義諸菩薩萬行首楞嚴經》,經典類,T0945,唐 般剌蜜帝譯,唐,密教部類,10卷,,,,三昧,,入流亡所,,
16,T0251,《般若波羅蜜多心經》,經典類,T0251,唐 玄奘譯,唐,般若部類,全1卷不分品,,,,諸法空相,究竟涅槃,般若波羅蜜多,色不異空,般若波羅蜜多
17,T0235,《金剛般若波羅蜜經》,經典類,T0237,後秦 鳩摩羅什譯,後秦,般若部類,全1卷32分,,,,滅度,,,阿耨多羅三藐三菩提,凡所有相
18,T1484,《梵網經菩薩戒本》(《佛說梵網經》下卷),律典類,,後秦 鳩摩羅什譯,後秦,律部類,,A,,B,佛性,,,,三寶
19,T0203,《雜寶藏經》,佛教故事類,T0305,元魏 吉迦夜共曇曜譯,元魏,本緣部類,121緣(故事),A,,,,,供養,,
20,T0211,《法句譬喻經》,佛教故事類,T0268,晉世 法炬共法立譯,西晉,本緣部類,4卷39品,C,A,,道士,世間,,彼岸,
21,T0945,《大佛頂如來密因修證了義諸菩薩萬行首楞嚴經．楞嚴咒》(楞嚴咒),儀軌類,T0366,唐 般剌蜜帝譯,唐,密教部類,439或427句咒語，因版本有別,,,,唵,,,,阿祇尼婆夜
