No.,經號,經名,經典類別,經文基本資料_0_經號,經文基本資料_1_作譯者,經文基本資料_2_朝代,經文基本資料_3_部類,經文基本資料_4_經文結構,經文摘要_0,經文摘要_1,經文摘要_2,全文內容_0,全文內容_1,全文內容_2,全文內容_3,全文內容_4
1,T0279,《大方廣佛華嚴經》(80卷本),經典類,T0279,唐 實叉難陀譯,唐,華嚴部類,七處九會39品,D,C,C,文殊師利菩薩,境界,遍滿十方世界,三千大千世界,如琉璃
2,T0475,《維摩詰所說經》,經典類,T0475,姚秦 鳩摩羅什譯,姚秦,經集部類,3卷14品,B,A,C,癡,須彌,不於,菩薩淨土,菩薩佛土
3,T0220,《大般若波羅蜜多經》,經典類,T0220,唐 玄奘譯,唐,般若部類,600卷12會,C,B,C,涅槃界,般若波羅蜜多,無上正等正覺,色即是空,般若波羅蜜多
4,T0262,《妙法蓮華經》,經典類,T0262,姚秦 鳩摩羅什譯,姚秦,法華部類,7卷28品,B,C,D,散亂心,二乘,一大事因緣,成佛已,諸法實相
5,T0374,《大般涅槃經》,經典類,T0374,北涼 曇無讖譯,北涼,涅槃部類,40卷13品,C,B,A,阿耨多羅三藐三菩提,常住,王臣將士,無常,涅槃
6,T2008,《六祖大師法寶壇經》,經典類,T2008,元 宗寶編,唐,禪宗部類,全1卷10品,B,A,D,佛性,菩提,無相,體,自性
7,T0099,《雜阿含經》,經典類,T0099,劉宋 求那跋陀羅譯,劉宋,阿含部類,50卷,A,C,D,成等正覺,純大苦聚滅,中道,古仙人道,煩惱業苦
8,T0125,《增壹阿含經》,經典類,T0125,東晉 瞿曇僧伽提婆譯,東晉,阿含部類,51卷52品,B,D,A,三解脫門,結跏趺坐,涅槃,內觀,諸佛教
9,T1509,《大智度論》,論典類,T1509,龍樹菩薩造 後秦 鳩摩羅什譯,後秦,般若部類,100卷90品,A,C,D,受報不定時,四種悉檀,心行處滅,佛法大海,有無二邊見
10,T1564,《中論》,論典類,T1564,龍樹菩薩造 梵志青目釋 姚秦 鳩摩羅什譯,姚秦,中觀部類,4卷27品,B,A,B,空義,二諦,不生,他生,中道義
11,T0360,《佛說無量壽經》,經典類,T0360,元魏 吉迦夜共曇曜譯,曹魏,淨土宗部類,上下2卷,D,C,D,無礙光佛,一生補處,十念,無上菩提之心,阿僧祇劫
12,T0366,《佛說阿彌陀經》,經典類,T0366,姚秦 鳩摩羅什譯,姚秦,淨土宗部類,全1卷不分品,C,A,A,十萬億佛土,善根福德因緣,阿耨多羅三藐三菩提,一心不亂,極樂
13,T0412,《地藏菩薩本願經》,經典類,T0412,唐 實叉難陀譯,唐,本緣部類,上下2卷13品,D,B,B,眾生,隨業受報,起心動念,無間地獄,七分之中
14,T0450,《藥師琉璃光如來本願功德經》,經典類,T0450,唐 玄奘譯,唐,經集部類,全1卷不分品,C,B,B,惡趣,無上菩提,藥師琉璃光如來,五色幡,本願力故
15,T0945,《大佛頂如來密因修證了義諸菩薩萬行首楞嚴經》,經典類,T0945,唐 般剌蜜帝譯,唐,密教部類,10卷,D,B,D,三昧,反聞聞自性,入流亡所,三摩提,二殊勝
16,T0251,《般若波羅蜜多心經》,經典類,T0251,唐 玄奘譯,唐,般若部類,全1卷不分品,B,B,A,諸法空相,究竟涅槃,般若波羅蜜多,色不異空,般若波羅蜜多
17,T0235,《金剛般若波羅蜜經》,經典類,T0235,後秦 鳩摩羅什譯,後秦,般若部類,全1卷32分,D,A,D,滅度,我相、人相、眾生相、壽者相,真是菩薩,阿耨多羅三藐三菩提,凡所有相
18,T1484,《梵網經菩薩戒本》(《佛說梵網經》下卷),律典類,T1484,後秦 鳩摩羅什譯,後秦,律部類,全1卷不分品,A,B,B,佛性,諸佛位,乃至,阿闍梨,三寶
19,T0203,《雜寶藏經》,佛教故事類,T0203,失譯,元魏,本緣部類,10卷，121緣(故事),A,A,D,羅網,精進,供養,奉事師長,五種施
20,T0211,《法句譬喻經》,佛教故事類,T0211,晉世 法炬共法立譯,北涼,本緣部類,4卷39品,C,A,A,婆羅門,胞胎,生滅法,彼岸,無欲
21,T0945,《大佛頂如來密因修證了義諸菩薩萬行首楞嚴經．楞嚴咒》(楞嚴咒),儀軌類,T0945,唐 般剌蜜帝譯,唐,密教部類,439或427句咒語，因版本有別,C,C,A,唵,阿羅訶帝三藐三菩陀耶,薩皤乾闥婆弊泮,釋迦牟尼耶,阿耆尼婆夜
22,T1064,《千手千眼觀世音菩薩大悲心陀羅尼》(大悲咒),儀軌類,T1064,唐 般剌蜜帝譯,唐,密教部類,84句咒語,B,D,A,南無那囉謹墀,摩婆利勝羯囉夜,室唎室唎,菩提薩埵婆,摩訶菩提薩埵
23,JB044,《諸經日誦集要．蒙山施食》,儀軌類,T1484,佚名,不詳,經集部類,1部儀軌,A,C,B,貪瞋癡,阿耨多羅三藐三菩提,受持此咒,法界性,薄伽伐帝
24,T1909,《慈悲道場懺法》(梁皇寶懺),儀軌類,T1909,梁 諸大法師集撰,梁,論集部類,10卷40品,B,A,C,願皆從心生,大悲,佛念眾生,因緣起,十惡業
25,T1910,《慈悲三昧水懺》,儀軌類,T1910,不詳,宋,密教部類,3卷,C,B,D,三障,發菩提心,心毒,貪瞋癡,妄想生
26,X1480,《千手眼大悲心咒行法》(大悲懺),儀軌類,T1909,宋 知禮始集 清 讀體重纂,元,經集部類,全1卷儀軌,D,B,B,三惡道,稱揚大悲,性空寂,千萬億,極樂世界
27,T1941,《法華三昧懺儀》,儀軌類,T1942,隋 智顗撰,隋,法華部類,全1卷5門，其中正修行方法含十科,D,B,C,諸法實相,諸佛,由彼,心心所法,心性空寂
28,X1244,《百丈清規證義記．蘭盆儀軌摘要》,儀軌類,X1244,清 儀潤證義,清,禪宗部類,1部儀軌,D,D,B,彼岸,如來智慧德相,無志,凡聖,戒定慧
29,X1497,《法界聖凡水陸勝會修齋儀軌》(水陸法會),儀軌類,X1497,宋 志磐謹撰 明 袾宏重訂,宋,密教部類,7卷28品,B,C,B,菩薩,法界,悉皆清淨,識見,現在未來
30,X1080,《瑜伽集要施食儀軌》(焰口),儀軌類,X1080,明 袾宏重訂,宋,密教部類,全1卷儀軌,B,B,C,三皈依戒,阿彌陀佛,觀世音,悉曇字母,甘露法水
31,T0489,《佛說除蓋障菩薩所問經》,佛典類,T0658,唐 般剌蜜帝譯,西晉,經集部類,4卷39品,A,D,D,阿惟越致,五欲,梵行者,阿蘭若處,無量功德
32,T0657,《佛說華手經》,佛典類,T0657,曹魏 康僧鎧譯,姚秦,經集部類,上下2卷,C,C,A,勝上劣下,諸善男子善女人等,當知是人退菩提心,無生忍,無相
33,T1567,《大乘中觀釋論》,論典類,T1566,唐 般剌蜜帝譯，安慧菩薩造,唐,中觀部類,9卷13品(註釋《中論》前13品),C,D,A,自性空,可得,影亦如響,性,不生
34,T2011,《最上乘論》,論典類,T1670A,唐 弘忍述,唐,禪宗部類,全1卷不分品,C,D,C,自心,三摩地,菩提心,最上乘法門,如來藏性
35,X0276,《楞嚴摸象記》,論典類,X1497,明 袾宏述,明,論集部類,全1卷不分品,A,B,D,識陰虛妄,因戒生定,見見,頓悟,覺性
36,T1670A,《那先比丘經》,經典類,T1670A,失譯,不詳,經集部類,3卷14品,C,C,C,譬如,慈心不殺,專精,仁義禮智信,燈
37,T0305,《信力入印法門經》,經典類,T0251,元魏 曇摩流支譯,不詳,華嚴部類,4卷39品,D,D,A,無所著,菩提心,檀波羅蜜,善逝,無所知
38,T0829,《大乘離文字普光明藏經》,經典類,T0829,唐 地婆訶羅譯,後秦,經集部類,全1卷不分品,D,A,C,正法眼藏,佛所覺,離言說相,世出世間智,非有非無
39,T0268,《大廣博嚴淨不退轉法輪經》,經典類,T0266,宋 智嚴譯,不詳,法華部類,上下2卷,B,C,D,無生法,五蘊,八正道,煩惱,諸三摩地
40,T0386,《佛說蓮華面經》,經典類,T1909,隋 那連提耶舍譯,不詳,涅槃部類,全1卷32分,B,B,A,無量無邊劫,八萬四千塔,五欲供養,魔王波旬軍,阿耨多羅三藐三菩提
