No.,經號,經名,經典類別,經文基本資料_0_經號,經文基本資料_1_作譯者,經文基本資料_2_朝代,經文基本資料_3_部類,經文基本資料_4_經文結構,經文摘要_0,經文摘要_1,經文摘要_2,全文內容_0,全文內容_1,全文內容_2,全文內容_3,全文內容_4
1,T0279,《大方廣佛華嚴經》(80卷本),經典類,T0279,唐 實叉難陀譯,唐,華嚴部類,七處九會39品,D,C,C,毘盧遮那佛,世間,普遍法界,世界微塵數,離塵垢
2,T0475,《維摩詰所說經》,經典類,T0475,姚秦 鳩摩羅什譯,姚秦,經集部類,3卷14品,B,A,C,癡,三千大千世界,不為,淨土之因,心之所念
3,T0220,《大般若波羅蜜多經》,經典類,T0220,唐 玄奘譯,唐,般若部類,600卷12會,A,B,C,涅槃境,般若波羅蜜多,佛陀世尊,非色即空,般若波羅蜜多
4,T0262,《妙法蓮華經》,經典類,T0262,姚秦 鳩摩羅什譯,東晉,法華部類,7卷28品,B,C,D,散亂心,二乘道,一大事因緣,成佛已來,諸法實相
5,T0374,《大般涅槃經》,經典類,T0374,北涼 曇無讖譯,劉宋,涅槃部類,40卷13品,C,B,A,佛菩提道,常住,剎帝利,無常,涅槃
6,T2008,《六祖大師法寶壇經》,經典類,T2008,元 宗寶編,唐,禪宗部類,全1卷10品,B,A,D,佛性,菩提,無相,體,自性
7,T0099,《雜阿含經》,經典類,T0099,劉宋 求那跋陀羅譯,劉宋,阿含部類,50卷,A,C,D,成等正覺,苦陰滅,中道,古仙人道,五受陰
8,T0125,《增壹阿含經》,經典類,T0125,東晉 瞿曇僧伽提婆譯,東晉,阿含部類,51卷52品,B,D,A,三法印,端身正意,涅槃,內觀,諸佛教
9,T1509,《大智度論》,論典類,T1509,龍樹菩薩造 後秦 鳩摩羅什譯,後秦,般若部類,100卷90品,A,C,D,有報亦有罪,四種悉檀,離一切相,信為道元,一切法空
10,T1564,《中論》,論典類,T1564,龍樹菩薩造 梵志青目釋 姚秦 鳩摩羅什譯,姚秦,論集部類,4卷27品,B,A,B,因緣,二諦義,不生,他生,中道義
11,T0360,《佛說無量壽經》,經典類,T0360,曹魏 康僧鎧譯,曹魏,淨土宗部類,4卷27品,D,C,D,無礙光佛,一生補處,一念,無上道心,阿僧祇劫
12,T0366,《佛說阿彌陀經》,經典類,T0366,姚秦 鳩摩羅什譯,姚秦,淨土宗部類,全1卷不分品,C,A,A,十萬億佛土,善根福德因緣,阿耨多羅三藐三菩提,一心不亂,極樂
13,T0412,《地藏菩薩本願經》,經典類,T0412,唐 實叉難陀譯,唐,本緣部類,上下2卷13品,D,B,B,眾生,隨業受報,起心動念,無間地獄,亡者不知
14,T0450,《藥師琉璃光如來本願功德經》,經典類,T0450,唐 玄奘譯,北涼,經集部類,全1卷不分品,C,B,B,惡趣,阿耨多羅三藐三菩提,藥師琉璃光如來,種種幡蓋,願力
15,T0945,《大佛頂如來密因修證了義諸菩薩萬行首楞嚴經》,經典類,T0945,唐 般剌蜜帝譯,唐,密教部類,10卷,D,B,D,三摩地,耳根圓通,"入流忘所

",圓通境,大自在
16,T0251,《般若波羅蜜多心經》,經典類,T0251,唐 玄奘譯,唐,般若部類,全1卷不分品,B,B,A,諸法空相,究竟涅槃,般若波羅蜜多,色不異空,般若波羅蜜多
17,T0235,《金剛般若波羅蜜經》,經典類,T0235,後秦 鳩摩羅什譯,後秦,般若部類,全1卷32分,D,A,D,滅度,我相、人相、眾生相、壽者相,能忍不退,阿耨多羅三藐三菩提,凡所有相
18,T1484,《梵網經菩薩戒本》(《佛說梵網經》下卷),律典類,T1484,劉宋 求那跋陀羅譯,劉宋,律部類,全1卷32分,A,B,B,佛性,諸佛位,十地,阿闍梨,沙門
19,T0203,《雜寶藏經》,佛教故事類,T0203,失譯,東晉,本緣部類,10卷，121緣(故事),A,A,A,煩惱,精進,供養,奉事師長,五福報
20,T0211,《法句譬喻經》,佛教故事類,T0211,晉世 法炬共法立譯,西晉,本緣部類,全1卷32分,C,A,A,是賢聖人,胞胎,無常苦,彼岸,諸根
21,T0945,《大佛頂如來密因修證了義諸菩薩萬行首楞嚴經．楞嚴咒》(楞嚴咒),儀軌類,T0945,唐 般剌蜜帝譯,唐,密教部類,439或427句咒語，因版本有別,C,C,A,薩怛嚩薩怛嚩薩怛嚩薩怛嚩,怛他揭多,薩皤迦樓羅弊泮,鉢囉婆拏,阿囉婆夜
22,T1064,《千手千眼觀世音菩薩大悲心陀羅尼》(大悲咒),儀軌類,T1064,唐 般剌蜜帝譯,唐,密教部類,84句咒語,B,D,A,莎訶摩訶薩怛婆薩怛婆薩怛婆,摩訶伽囉尼娑婆訶,地唎莎跢,悉怛囉薩怛婆,摩訶摩訶
23,JB044,《諸經日誦集要．蒙山施食》,儀軌類,JB044,佚名,不詳,經集部類,1部儀軌,A,C,B,貪嗔癡,成等正覺,受持此咒,法界性,藥師琉璃光如來
24,T1909,《慈悲道場懺法》(梁皇寶懺),儀軌類,T1909,梁 諸大法師集撰,梁,律部類,10卷40品,B,A,C,無上菩提心,大悲,菩薩念眾生,心生起,十惡業
25,T1910,《慈悲三昧水懺》,儀軌類,T1910,宋 惟淨等譯,宋,密教部類,1部儀軌,C,B,C,三業,發菩提心,煩惱,殺生,妄想心
26,X1480,《千手眼大悲心咒行法》(大悲懺),儀軌類,T1909,宋 知禮始集 清 讀體重纂,元,經集部類,全1卷儀軌,D,B,B,三惡道,觀世音菩薩,空中佛,千百億身,極樂國土
27,T1941,《法華三昧懺儀》,儀軌類,T1941,隋 智顗撰,隋,法華部類,全1卷5門，其中正修行方法含十科,D,B,C,實相觀,法華經,顛倒,一念心,心性空寂
28,X1244,《百丈清規證義記．蘭盆儀軌摘要》,儀軌類,X1244,清 儀潤證義,清,禪宗部類,1部儀軌,D,D,A,佛地,如來智慧德相,堅定,依報,住持
29,X1497,《法界聖凡水陸勝會修齋儀軌》(水陸法會),儀軌類,X1480,宋 志磐謹撰 明 袾宏重訂,宋,密教部類,上下2卷,B,C,B,菩薩,遍,清淨莊嚴,道理,五逆十惡
30,X1080,《瑜伽集要施食儀軌》(焰口),儀軌類,X1080,明 袾宏重訂,明,密教部類,全1卷儀軌,B,B,C,三皈五戒,觀世音菩薩,阿彌陀佛,流出,真言神咒
31,T0489,《佛說除蓋障菩薩所問經》,佛典類,T0658,失譯,唐,密教部類,4卷39品,A,C,B,三摩地,世間樂事,眷屬,寂靜行,諸法相
32,T0657,《佛說華手經》,佛典類,T0125,曹魏 康僧鎧譯,劉宋,寶積部類,上下2卷,C,C,A,一切時分,菩薩摩訶薩,不成菩薩道,大願力,無為
33,T1567,《大乘中觀釋論》,論典類,T1564,唐 般剌蜜帝譯，安慧菩薩造,唐,中觀部類,9卷13品(註釋《中論》前13品),A,C,A,不生不滅,自性,水中月,心心心心心心心,不生亦不作
34,T2011,《最上乘論》,論典類,T1670A,佚名,唐,中觀部類,全1卷不分品,C,D,C,般若,智慧,真如自性,一切眾生本性清淨,佛性
35,X0276,《楞嚴摸象記》,論典類,X1497,明 袾宏述,梁,論集部類,全1卷不分品,A,B,D,頭頭是道,因戒生定,見見不見,頓悟,圓照
36,T1670A,《那先比丘經》,經典類,T1670A,不詳,東晉,經集部類,2卷,C,C,C,一切,善根,正念,五善道法,燈相續
37,T0305,《信力入印法門經》,經典類,T0251,元魏 曇摩流支譯,東晉,本緣部類,4卷39品,D,D,A,無厭足,大悲心,破慳嫉,無魔,無我見
38,T0829,《大乘離文字普光明藏經》,經典類,T0829,唐 玄奘譯,唐,密教部類,全1卷不分品,D,A,C,法身命脈,可說可說,無差別,一切法,非一非異
39,T0268,《大廣博嚴淨不退轉法輪經》,經典類,T0267,宋 智嚴譯,劉宋,本緣部類,6卷,B,A,D,佛法,六道,邪見,煩惱業報,功德利樂
40,T0386,《佛說蓮華面經》,經典類,T0366,北涼 曇無讖譯,姚秦,法華部類,全1卷32分,C,B,C,師子身肉,八萬四千塔,衣被飲食,魔軍,菩薩
