No.,經號,經名,經典類別,經文基本資料_0_經號,經文基本資料_1_作譯者,經文基本資料_2_朝代,經文基本資料_3_部類,經文基本資料_4_經文結構,經文摘要_0,經文摘要_1,經文摘要_2,全文內容_0,全文內容_1,全文內容_2,全文內容_3,全文內容_4
1,T0279,《大方廣佛華嚴經》(80卷本),經典類,T0279,唐 實叉難陀譯,唐,華嚴部類,七處九會39品,D,C,C,毘盧遮那佛,"根據《大方廣佛華嚴經》80卷本的文本，該詞語是：

**眾生**",遍十方界,眾生界,如虛空
2,T0475,《維摩詰所說經》,經典類,T0475,姚秦 鳩摩羅什譯,姚秦,經集部類,3卷14品,B,A,C,貪,須彌山,不,菩薩道場,菩薩佛土
3,T0220,《大般若波羅蜜多經》,經典類,T0220,唐 玄奘譯,唐,般若部類,600卷12會,A,B,C,無上菩提,般若波羅蜜多,般若波羅蜜多,色即是空,般若波羅蜜多
4,T0262,《妙法蓮華經》,經典類,T0262,姚秦 鳩摩羅什譯,姚秦,法華部類,7卷28品,B,C,D,供養佛,二乘,一大事因緣,得佛以來,諸法實相
5,T0374,《大般涅槃經》,經典類,T0374,北涼 曇無讖譯,劉宋,涅槃部類,40卷13品,C,A,A,阿耨多羅三藐三菩提,常樂,菩薩摩訶薩,有變,涅槃
6,T2008,《六祖大師法寶壇經》,經典類,T0251,元 宗寶編,唐,禪宗部類,1部儀軌,B,A,D,佛性,菩提,無相,體,自性
7,T0099,《雜阿含經》,經典類,T0099,曹魏 康僧鎧譯,後秦,阿含部類,50卷,A,C,D,緣起法爾,純苦蘊滅,中道,八正道,三支蘆
8,T0125,《增壹阿含經》,經典類,T0125,東晉 瞿曇僧伽提婆譯,東晉,阿含部類,51卷52品,A,D,A,三寶法,正念正知,涅槃,內觀,諸佛教
9,T1509,《大智度論》,論典類,T0223,龍樹菩薩造 後秦 鳩摩羅什譯,後秦,般若部類,100卷90品,A,A,A,無業亦無果,四悉檀,"過一切語言道，**超諸心行**，遍無所依，不示諸法。

答案：超諸心行",般若波羅蜜,般若波羅蜜
10,T1564,《中論》,論典類,T1564,龍樹菩薩造 梵志青目釋 姚秦 鳩摩羅什譯,姚秦,論集部類,4卷27品,B,A,B,因緣,二諦,是,他生,中道義
11,T0360,《佛說無量壽經》,經典類,T0360,曹魏 康僧鎧譯,曹魏,淨土宗部類,4卷27品,D,C,D,無礙光佛,一生補處,十念,菩提心,劫
12,T0366,《佛說阿彌陀經》,經典類,T0366,姚秦 鳩摩羅什譯,姚秦,淨土宗部類,全1卷不分品,C,A,A,十萬億佛土,少善根福德,阿耨多羅三藐三菩提,一心不亂,極樂
