work_id,work_name,source_file,is_spell,sentence_number,question_type,category,question,option_A,option_B,option_C,option_D,correct_answer,correct_term,original_sentence
T1564,《中論》,T1564-001-004.txt,False,1,multiple_choice,教義概念,OOOOO，不常亦不斷，不一亦不異，不來亦不出。,新發意菩薩,般若波羅蜜,不生亦不滅,反聞聞自性,C,不生亦不滅,不生亦不滅，不常亦不斷，不一亦不異，不來亦不出。
T1564,《中論》,T1564-001-004.txt,False,2,multiple_choice,教義概念,諸法不自生，亦不從他生，不共不無因，是故知OO。,輪迴,菩提,出家,無生,D,無生,諸法不自生，亦不從他生，不共不無因，是故知無生。
T1564,《中論》,T1564-001-004.txt,False,3,cloze,教義概念,眾因緣生法，我說即是無，亦為是假名，亦是OOO。,,,,,中道義,中道義,眾因緣生法，我說即是無，亦為是假名，亦是中道義。
T1564,《中論》,T1564-001-004.txt,False,4,cloze,教義概念,諸佛依二諦，為眾生說法：一以世俗諦，二OOOO。,,,,,第一義諦,第一義諦,諸佛依二諦，為眾生說法：一以世俗諦，二第一義諦。
T1564,《中論》,T1564-001-004.txt,False,5,cloze,教義概念,以有OO故，一切法得成；若無OO者，一切則不成。,,,,,空義,空義,以有空義故，一切法得成；若無空義者，一切則不成。
T0360,《佛說無量壽經》,T0360_001.txt,False,1,multiple_choice,專有名詞,OOOO號無量光佛、無邊光佛、無礙光佛、無對光佛、炎王光佛、清淨光佛、歡喜光佛、智慧光佛、不斷光佛、難思光佛、無稱光佛、超日月光佛,穢跡金剛,無量壽佛,娑婆世界,法藏比丘,B,無量壽佛,無量壽佛號無量光佛、無邊光佛、無礙光佛、無對光佛、炎王光佛、清淨光佛、歡喜光佛、智慧光佛、不斷光佛、難思光佛、無稱光佛、超日月光佛
T0360,《佛說無量壽經》,T0360_001.txt,False,2,multiple_choice,教義概念,時有國王，聞佛說法心懷悅豫，尋發OOOOOO，棄國、捐王，行作沙門，號曰法藏,般若波羅蜜多,無上正真道意,不思善不思惡,般若波羅蜜多,B,無上正真道意,時有國王，聞佛說法心懷悅豫，尋發無上正真道意，棄國、捐王，行作沙門，號曰法藏
T0360,《佛說無量壽經》,T0360_001.txt,False,3,cloze,教義概念,設我得佛，十方眾生至心信樂欲生我國，乃至十念，若不生者，不取正覺，唯除五逆、OOOO,,,,,誹謗正法,誹謗正法,設我得佛，十方眾生至心信樂欲生我國，乃至十念，若不生者，不取正覺，唯除五逆、誹謗正法
T0360,《佛說無量壽經》,T0360_001.txt,False,4,cloze,教義概念,設我得佛，他方佛土諸菩薩眾來生我國，究竟必至OOOO,,,,,一生補處,一生補處,設我得佛，他方佛土諸菩薩眾來生我國，究竟必至一生補處
T0360,《佛說無量壽經》,T0360_001.txt,False,5,cloze,數字術語,於OOOOOOOO積殖菩薩無量德行，不生欲覺、瞋覺、害覺,,,,,不可思議兆載永劫,不可思議兆載永劫,於不可思議兆載永劫積殖菩薩無量德行，不生欲覺、瞋覺、害覺
T0657,《佛說華手經》,T0657-001-010.txt,False,1,multiple_choice,教義概念,舍利弗！是發心即OOO菩薩勸請諸佛轉于法輪，此諸功德更無所為，但為請佛轉於法輪。,阿字門,蓮華族,世界海,轉法輪,D,轉法輪,舍利弗！是發心即轉法輪菩薩勸請諸佛轉于法輪，此諸功德更無所為，但為請佛轉於法輪。
T0657,《佛說華手經》,T0657-001-010.txt,False,2,multiple_choice,專有名詞,舍利弗！OOOOO有四法行，得不退智，獲大慈悲諸三昧慧，亦能無礙逮佛十力。,釋迦牟尼佛,菩薩摩訶薩,釋迦牟尼佛,《十地經》,B,菩薩摩訶薩,舍利弗！菩薩摩訶薩有四法行，得不退智，獲大慈悲諸三昧慧，亦能無礙逮佛十力。
T0657,《佛說華手經》,T0657-001-010.txt,False,3,cloze,教義概念,舍利弗！如來了知諸菩薩等OOOO劣下一念功德果報，百千萬劫說不能盡，況復一日、一月、一歲，乃至百歲所集諸心功德果報豈可說盡！,,,,,最初發心,最初發心,舍利弗！如來了知諸菩薩等最初發心劣下一念功德果報，百千萬劫說不能盡，況復一日、一月、一歲，乃至百歲所集諸心功德果報豈可說盡！
T0657,《佛說華手經》,T0657-001-010.txt,False,4,cloze,教義概念,堅意！法名OOOOOOOOOOOOOOOOO，淨妙無緣，無有文字，亦無言說，不可顯示。,,,,,無思、無慮、無相、無作、無憶、無念,無思、無慮、無相、無作、無憶、無念,堅意！法名無思、無慮、無相、無作、無憶、無念，淨妙無緣，無有文字，亦無言說，不可顯示。
T0657,《佛說華手經》,T0657-001-010.txt,False,5,cloze,教義概念,舍利弗！菩薩若行四法，則壞諸佛OOOO。何謂為四？離於善友屬惡知識，隨其所學毀壞大乘，是名初法。,,,,,無上菩提,無上菩提,舍利弗！菩薩若行四法，則壞諸佛無上菩提。何謂為四？離於善友屬惡知識，隨其所學毀壞大乘，是名初法。
T0386,《佛說蓮華面經》,T0386_001.txt,False,2,multiple_choice,數字術語,復有比丘實非羅漢，而常詐稱得羅漢果，欲令人知我是羅漢；復有比丘多受檀越OOOO，內無實德唯增貪心，但為活命不為修道。,苦集滅道,十二部經,十萬億剎,四事供養,D,四事供養,復有比丘實非羅漢，而常詐稱得羅漢果，欲令人知我是羅漢；復有比丘多受檀越四事供養，內無實德唯增貪心，但為活命不為修道。
T0386,《佛說蓮華面經》,T0386_001.txt,False,3,cloze,數字術語,阿難！譬如師子命絕身死，若空、若地、若水、若陸，所有眾生不敢食彼師子身肉，唯師子身自生諸虫，還自噉食師子之肉。阿難！我之佛法非餘能壞，是我法中諸惡比丘猶如毒刺，破我OOOOO積行勤苦所集佛法。,,,,,三阿僧祇劫,三阿僧祇劫,阿難！譬如師子命絕身死，若空、若地、若水、若陸，所有眾生不敢食彼師子身肉，唯師子身自生諸虫，還自噉食師子之肉。阿難！我之佛法非餘能壞，是我法中諸惡比丘猶如毒刺，破我三阿僧祇劫積行勤苦所集佛法。
T0386,《佛說蓮華面經》,T0386_001.txt,False,4,cloze,數字術語,彼餘舍利在閻浮提，當來有王名阿輸迦，統一閻浮提；此王為供養舍利故，造作OOOOO，置此舍利而供養之。,,,,,八萬四千塔,八萬四千塔,彼餘舍利在閻浮提，當來有王名阿輸迦，統一閻浮提；此王為供養舍利故，造作八萬四千塔，置此舍利而供養之。
T0386,《佛說蓮華面經》,T0386_001.txt,False,5,cloze,教義概念,如是一分舍利向諸天所。爾時帝釋天王及諸天眾，見佛舍利知佛涅槃，即雨天曼陀羅花、摩訶曼陀羅花、曼殊沙花、摩訶曼殊沙花供養舍利，如見佛身禮拜右遶，有種OOOOOOOOO善根，有種聲聞善根，有種辟支佛善根。,,,,,阿耨多羅三藐三菩提,阿耨多羅三藐三菩提,如是一分舍利向諸天所。爾時帝釋天王及諸天眾，見佛舍利知佛涅槃，即雨天曼陀羅花、摩訶曼陀羅花、曼殊沙花、摩訶曼殊沙花供養舍利，如見佛身禮拜右遶，有種阿耨多羅三藐三菩提善根，有種聲聞善根，有種辟支佛善根。
T0366,《佛說阿彌陀經》,T0366_001.txt,False,1,multiple_choice,教義概念,不可以少OOOOOO得生彼國。,無上正遍知覺,不思善不思惡,不可思議解脫,善根福德因緣,D,善根福德因緣,不可以少善根福德因緣得生彼國。
T0366,《佛說阿彌陀經》,T0366_001.txt,False,2,multiple_choice,教義概念,若有善男子、善女人，聞說阿彌陀佛，執持名號，若一日、若二日、若三日、若四日、若五日、若六日、若七日，OOOO。,毘梨耶度,寂滅涅槃,一心不亂,本自具足,C,一心不亂,若有善男子、善女人，聞說阿彌陀佛，執持名號，若一日、若二日、若三日、若四日、若五日、若六日、若七日，一心不亂。
T0366,《佛說阿彌陀經》,T0366_001.txt,False,3,cloze,教義概念,是諸善男子、善女人，皆為一切諸佛共所護念，皆得不退轉於OOOOOOOOO。,,,,,阿耨多羅三藐三菩提,阿耨多羅三藐三菩提,是諸善男子、善女人，皆為一切諸佛共所護念，皆得不退轉於阿耨多羅三藐三菩提。
T0366,《佛說阿彌陀經》,T0366_001.txt,False,4,cloze,專有名詞,其國眾生無有眾苦，但受諸樂，故名OO。,,,,,極樂,極樂,其國眾生無有眾苦，但受諸樂，故名極樂。
T0366,《佛說阿彌陀經》,T0366_001.txt,False,5,cloze,專有名詞,從是西方過十萬億佛土，有世界名曰極樂。其土有佛，號OOO，今現在說法。,,,,,阿彌陀,阿彌陀,從是西方過十萬億佛土，有世界名曰極樂。其土有佛，號阿彌陀，今現在說法。
T0489,《佛說除蓋障菩薩所問經》,T0489_013.txt,False,1,multiple_choice,教義概念,所有諸受皆悉是苦。云何愚人，於中OO計以為樂？,無我,顛倒,辯才,業報,B,顛倒,所有諸受皆悉是苦。云何愚人，於中顛倒計以為樂？
T0489,《佛說除蓋障菩薩所問經》,T0489_013.txt,False,2,multiple_choice,教義概念,菩薩若修十種法者，即得常住OOOO。,色即是空,事事無礙,妙等引心,本不生滅,C,妙等引心,菩薩若修十種法者，即得常住妙等引心。
T0489,《佛說除蓋障菩薩所問經》,T0489_013.txt,False,3,cloze,專有名詞,修無諍行及寂靜行，是即名為住OOOO。,,,,,阿蘭若處,阿蘭若處,修無諍行及寂靜行，是即名為住阿蘭若處。
T0489,《佛說除蓋障菩薩所問經》,T0489_013.txt,False,4,cloze,教義概念,一分授彼OOOO、一分施於貧苦有情、一分當施墮惡趣者、一分自食。,,,,,同梵行者,同梵行者,一分授彼同梵行者、一分施於貧苦有情、一分當施墮惡趣者、一分自食。
T0489,《佛說除蓋障菩薩所問經》,T0489_013.txt,False,5,cloze,教義概念,心如畫師畫諸物像，心不見心，心能積集OOOO。,,,,,善不善業,善不善業,心如畫師畫諸物像，心不見心，心能積集善不善業。
T0305,《信力入印法門經》,T0305_002.txt,False,1,multiple_choice,教義概念,有言信力者，謂過一切OOO故。,頭陀行,諸魔業,辟支佛,大神咒,B,諸魔業,有言信力者，謂過一切諸魔業故。
T0305,《信力入印法門經》,T0305_002.txt,False,2,multiple_choice,教義概念,有言OOO者，謂不離一切諸法法界不二智故。,波夜提,早晚課,辟支佛,法界智,D,法界智,有言法界智者，謂不離一切諸法法界不二智故。
T0305,《信力入印法門經》,T0305_002.txt,False,3,cloze,教義概念,有言OOOO者，謂善教化慳嫉眾生故。,,,,,檀波羅蜜,檀波羅蜜,有言檀波羅蜜者，謂善教化慳嫉眾生故。
T0305,《信力入印法門經》,T0305_002.txt,False,4,cloze,教義概念,有言OOO者，所謂諸陰不生智故。,,,,,苦諦智,苦諦智,有言苦諦智者，所謂諸陰不生智故。
T0305,《信力入印法門經》,T0305_002.txt,False,5,cloze,教義概念,有言OOO者，所謂拔濟一切眾生諸苦惱故，所謂身心修集一切諸功德故。,,,,,大慈心,大慈心,有言大慈心者，所謂拔濟一切眾生諸苦惱故，所謂身心修集一切諸功德故。
T2008,《六祖大師法寶壇經》,T2008-001-001.txt,False,1,multiple_choice,教義概念,OO本無樹，明鏡亦非臺；本來無一物，何處惹塵埃？,性具,假名,解脫,菩提,D,菩提,菩提本無樹，明鏡亦非臺；本來無一物，何處惹塵埃？
T2008,《六祖大師法寶壇經》,T2008-001-001.txt,False,2,multiple_choice,教義概念,何期OO，本自清淨；何期OO，本不生滅；何期OO，本自具足；何期OO，本無動搖；何期OO，能生萬法。,自性,實相,緣起,法施,A,自性,何期自性，本自清淨；何期自性，本不生滅；何期自性，本自具足；何期自性，本無動搖；何期自性，能生萬法。
T2008,《六祖大師法寶壇經》,T2008-001-001.txt,False,3,cloze,教義概念,人雖有南北，OO本無南北；獵獠身與和尚不同，OO有何差別？,,,,,佛性,佛性,人雖有南北，佛性本無南北；獵獠身與和尚不同，佛性有何差別？
T2008,《六祖大師法寶壇經》,T2008-001-001.txt,False,4,cloze,教義概念,OOOO，無相為體，無住為本。,,,,,無念為宗,無念為宗,無念為宗，無相為體，無住為本。
T2008,《六祖大師法寶壇經》,T2008-001-001.txt,False,5,cloze,教義概念,OOOO，慧是定用。即慧之時定在慧，即定之時慧在定。,,,,,定是慧體,定是慧體,定是慧體，慧是定用。即慧之時定在慧，即定之時慧在定。
T1064,《千手千眼觀世音菩薩大悲心陀羅尼》(大悲咒),T1064_001.txt,True,1,multiple_choice,教義概念,悉唎悉唎(四十四)蘇嚧蘇嚧(四十五)OOOOOO(四十六)菩馱夜菩馱夜(四十七)彌帝唎夜(四十八),般若波羅蜜多,無上正遍知覺,不思善不思惡,菩提夜菩提夜,D,菩提夜菩提夜,悉唎悉唎(此是觀世音菩薩，利益一切眾生不可思議)(四十四)　蘇嚧蘇嚧(此是諸佛樹葉落□)(四十五)　菩提夜菩提夜(此是觀世音菩薩結緣眾生)(四十六)　菩馱夜菩馱夜(此是阿難本身也)(四十七)　彌帝唎夜(此是大車菩薩，手把金刀)(四十八)
