No.,經號,經名,經典類別,經文基本資料_0_經號,經文基本資料_1_作譯者,經文基本資料_2_朝代,經文基本資料_3_部類,經文基本資料_4_經文結構,經文摘要_0,經文摘要_1,經文摘要_2,全文內容_0,全文內容_1,全文內容_2,全文內容_3,全文內容_4
1,T0279,《大方廣佛華嚴經》(80卷本),經典類,T0279,唐 實叉難陀譯,唐,華嚴部類,七處九會39品,D,C,C,毗盧遮那佛,境界,普聞十方世界,眾生及國土,常寂滅
2,T0475,《維摩詰所說經》,經典類,T0475,姚秦 鳩摩羅什譯,姚秦,經集部類,3卷14品,B,A,C,痴,須彌,不當,菩薩淨土,菩薩淨土
3,T0220,《大般若波羅蜜多經》,經典類,T0220,唐 玄奘譯,唐,般若部類,600卷12會,A,B,C,向大覺,般若波羅蜜多,般若波羅蜜多,色即是空,般若波羅蜜多
4,T0262,《妙法蓮華經》,經典類,T0262,姚秦 鳩摩羅什譯,姚秦,法華部類,7卷28品,B,C,D,散亂心,二乘,一大事因緣,得佛以來,諸法實相
5,T0374,《大般涅槃經》,經典類,T0374,北涼 曇無讖譯,北涼,涅槃部類,40卷13品,C,B,A,阿耨多羅三藐三菩提,常住,持法比丘,無常,涅槃
6,T2008,《六祖大師法寶壇經》,經典類,T2008,元 宗寶編,元,禪宗部類,全1卷10品,B,A,D,佛性,菩提,無相,體,自性
7,T0099,《雜阿含經》,經典類,T0099,劉宋 求那跋陀羅譯,劉宋,阿含部類,50卷,A,C,D,成等正覺,純大苦聚滅,中道,古仙人道,識緣名色
8,T0125,《增壹阿含經》,經典類,T0125,東晉 瞿曇僧伽提婆譯,東晉,阿含部類,51卷52品,A,D,A,三法印,結跏趺坐,涅槃,內觀,諸佛教
9,T1509,《大智度論》,論典類,T1509,龍樹菩薩造 後秦 鳩摩羅什譯,後秦,般若部類,100卷90品,A,C,D,無作者受者,四悉檀,心行處滅,佛法大海,一切法不忍
10,T1564,《中論》,論典類,T1564,龍樹菩薩造 梵志青目釋 姚秦 鳩摩羅什譯,姚秦,中觀部類,4卷27品,B,A,B,空性,二諦,不生,他生,中道義
11,T0360,《佛說無量壽經》,經典類,T0360,曹魏 康僧鎧譯,曹魏,經集部類,上下2卷,D,C,D,無礙光佛,一生補處,十念,無上正真道意,兆載永劫
12,T0366,《佛說阿彌陀經》,經典類,T0366,姚秦 鳩摩羅什譯,姚秦,淨土宗部類,全1卷不分品,C,A,A,十萬億佛土,善根福德因緣,阿耨多羅三藐三菩提,一心不亂,極樂
13,T0412,《地藏菩薩本願經》,經典類,T0412,唐 實叉難陀譯,唐,本緣部類,上下2卷13品,D,B,B,六道眾生,性識無定,舉心動念,無間地獄,七分之中
14,T0450,《藥師琉璃光如來本願功德經》,經典類,T0450,唐 玄奘譯,唐,經集部類,全1卷不分品,C,B,B,惡趣,無上菩提,藥師琉璃光如來,五色續命神幡,本願威力
15,T0945,《大佛頂如來密因修證了義諸菩薩萬行首楞嚴經》,經典類,T0945,唐 般剌蜜帝譯,唐,密教部類,10卷,D,B,D,三摩地,歸元性無二,入流亡所,三摩地,二種勝
16,T0251,《般若波羅蜜多心經》,經典類,T0251,唐 玄奘譯,唐,般若部類,全1卷不分品,B,B,A,諸法空相,究竟涅槃,般若波羅蜜多,色不異空,般若波羅蜜多
17,T0235,《金剛般若波羅蜜經》,經典類,T0235,後秦 鳩摩羅什譯,後秦,般若部類,全1卷32分,D,A,D,滅度,我相人相眾生相壽者相,真是菩薩,阿耨多羅三藐三菩提,凡所有相
18,T1484,《梵網經菩薩戒本》(《佛說梵網經》下卷),律典類,T1484,後秦 鳩摩羅什譯,後秦,律部類,全1卷不分品,A,B,B,佛性,諸佛位,十地,阿闍梨,三寶
19,T0203,《雜寶藏經》,佛教故事類,T0203,元魏 吉迦夜共曇曜譯,元魏,本緣部類,10卷，121緣(故事),A,A,D,結使,精進,供養,供養師長,五利益
20,T0211,《法句譬喻經》,佛教故事類,T0211,晉世 法炬共法立譯,西晉,本緣部類,4卷39品,C,A,A,謂沙門,胞胎,興衰法,彼岸,貪欲
21,T0945,《大佛頂如來密因修證了義諸菩薩萬行首楞嚴經．楞嚴咒》(楞嚴咒),儀軌類,T0945,唐 般剌蜜帝譯,唐,密教部類,439或427句咒語，因版本有別,C,C,A,唵,阿羅訶帝三藐三菩陀,薩皤乾闥婆弊泮,阿彌多婆耶,阿耆尼婆夜
22,T1064,《千手千眼觀世音菩薩大悲心陀羅尼》(大悲咒),儀軌類,T1064,唐 不空譯,唐,密教部類,84句咒語,B,D,A,南無那囉謹墀,摩訶悉陀夜,室佛囉室佛囉,菩提薩埵,度盧度盧
23,JB044,《諸經日誦集要．蒙山施食》,儀軌類,JB044,失譯,不詳,經集部類,1部儀軌,A,C,B,貪瞋癡,菩提成正等正覺,安住此經,法界性,薄伽伐帝
24,T1909,《慈悲道場懺法》(梁皇寶懺),儀軌類,T1909,梁 諸大法師集撰,梁,論集部類,10卷40品,B,A,C,十方盡虛空,大悲,佛菩薩,心起生,十惡業
25,T1910,《慈悲三昧水懺》,儀軌類,T1910,不詳,不詳,密教部類,3卷,C,B,D,三障,發菩提心,毒根,不善業,因緣生
26,X1480,《千手眼大悲心咒行法》(大悲懺),儀軌類,T1909,宋 知禮始集 清 讀體重纂,清,法華部類,全1卷儀軌,D,B,B,三惡道,本源自性,性空寂,千手眼,極樂世界
27,T1941,《法華三昧懺儀》,儀軌類,T1941,隋 智顗撰,隋,法華部類,全1卷5門，其中正修行方法含十科,D,B,C,一實境界,三寶,眼根,一念心,罪自性空
28,X1244,《百丈清規證義記．蘭盆儀軌摘要》,儀軌類,X1244,清 儀潤證義,清,禪宗部類,1部儀軌,D,D,B,聖位,如來智慧德相,勇猛,聖凡,住持人
29,X1497,《法界聖凡水陸勝會修齋儀軌》(水陸法會),儀軌類,X1497,宋 志磐謹撰 明 袾宏重訂,明,密教部類,6卷,B,C,B,三乘,沙界,悉令嚴淨,教相,五逆十惡
30,X1080,《瑜伽集要施食儀軌》(焰口),儀軌類,X1080,明 袾宏重訂,明,密教部類,全1卷儀軌,B,B,C,三昧耶戒,寶勝如來,阿彌陀,阿字中流,真言咒印
31,T0489,《佛說除蓋障菩薩所問經》,佛典類,T0489,宋 法護等譯,宋,經集部類,20卷,C,C,D,寂靜三摩地,有為,梵行者,空性無相,種種業
32,T0657,《佛說華手經》,佛典類,T0657,姚秦 鳩摩羅什譯,姚秦,經集部類,10卷35品,C,C,A,乃至於,菩薩摩訶薩,失大乘智慧,四法門,無行
33,T1567,《大乘中觀釋論》,論典類,T1567,安慧菩薩造 宋 惟淨等譯,宋,中觀部類,9卷13品(註釋《中論》前13品),C,D,A,本自空,自生,乾闥婆城,果,不生
34,T2011,《最上乘論》,論典類,T2011,唐 弘忍述,唐,禪宗部類,全1卷不分品,C,D,C,守心,智照,我我性,三世諸佛,金剛佛性
35,X0276,《楞嚴摸象記》,論典類,X0276,明 袾宏述,明,論集部類,全1卷不分品,A,B,D,眾生迷悶,因戒生定,見見,頓悟,本覺
