No.,經號,經名,經典類別,經文基本資料_0_經號,經文基本資料_1_作譯者,經文基本資料_2_朝代,經文基本資料_3_部類,經文基本資料_4_經文結構,經文摘要_0,經文摘要_1,經文摘要_2,全文內容_0,全文內容_1,全文內容_2,全文內容_3,全文內容_4
1,T0279,《大方廣佛華嚴經》(80卷本),經典類,T0278,唐 實叉難陀譯,劉宋,華嚴部類,七處九會39品,D,B,A,⭘⭘⭘⭘⭘⭘,有情,遍滿十方世界,⭘⭘⭘⭘⭘⭘,如虛空
2,T0475,《維摩詰所說經》,經典類,T0475,姚秦 鳩摩羅什譯,姚秦,經集部類,3卷14品,B,A,C,所愛,⭘⭘,不向,⭘⭘⭘⭘,⭘⭘⭘⭘
3,T0220,《大般若波羅蜜多經》,經典類,T0220,唐 玄奘譯,唐,般若部類,600卷12會,A,B,C,⭘⭘⭘,般若波羅蜜多,⭘⭘⭘⭘⭘⭘,⭘⭘⭘⭘,般若波羅蜜多
4,T0262,《妙法蓮華經》,經典類,T0262,姚秦 鳩摩羅什譯,姚秦,法華部類,7卷28品,B,C,D,⭘⭘⭘,一佛,一大事因緣,⭘⭘⭘,一切法界
5,T0374,《大般涅槃經》,經典類,T0374,北涼 曇無讖譯,姚秦,涅槃部類,40卷13品,C,B,A,阿耨多羅三藐三菩提,⭘⭘,國王諸臣,亦有,□□
6,T2008,《六祖大師法寶壇經》,經典類,T2008,元 宗寶編,唐,禪宗部類,全1卷10品,B,A,D,⭘⭘,菩提,⭘⭘,⭘,自性
7,T0099,《雜阿含經》,經典類,T0099,曹魏 康僧鎧譯,姚秦,阿含部類,10卷35品,A,C,D,⭘⭘⭘⭘,⭘⭘⭘⭘⭘,中道,阿羅漢果,一切眾生
8,T0125,《增壹阿含經》,經典類,T0125,宋 法護等譯,梁,阿含部類,51卷52品,A,D,A,三學法門,一心不亂,涅槃,內觀,諸佛教
9,T1509,《大智度論》,論典類,T1509,龍樹菩薩造 後秦 鳩摩羅什譯,後秦,般若部類,100卷90品,A,A,A,請提供候選詞選項或更多上下文，或允許我列出可能的候選詞以供選擇。,四種悉檀,不可思議,⭘⭘⭘⭘,請提供前後文或章節出處（例如卷、章或段落）以便確認正確詞語。
10,T1564,《中論》,論典類,T1564,龍樹菩薩造 梵志青目釋 姚秦 鳩摩羅什譯,姚秦,中觀部類,4卷27品,B,A,B,因緣,般若,不生,他生,⭘⭘⭘
