No.,經號,經名,經典類別,經文基本資料_0_經號,經文基本資料_1_作譯者,經文基本資料_2_朝代,經文基本資料_3_部類,經文基本資料_4_經文結構,經文摘要_0,經文摘要_1,經文摘要_2,全文內容_0,全文內容_1,全文內容_2,全文內容_3,全文內容_4
1,T0279,《大方廣佛華嚴經》(80卷本),經典類,T0279,唐 實叉難陀譯,唐,華嚴部類,七處九會39品,D,"C

本卷為《大方廣佛華嚴經》(80卷本)〈入法界品第三十九之一〉的首卷，核心內容正是描述世尊入師子頻申三昧後，逝多林的不可思議莊嚴變化，以及十方世界海微塵數菩薩雲集的盛況，而諸大聲聞因缺乏菩薩智眼與大行願善根而不能見此境界。

選項A描述的是頭陀行與念處法門；選項B是《法華經》如來壽量品的內容；選項D是《無量壽經》的往生法門教法。",C,毗卢遮那佛,三昧,普遍十方,諸佛菩薩,常寂滅
2,T0475,《維摩詰所說經》,經典類,T0475,姚秦 鳩摩羅什譯,姚秦,經集部類,3卷14品,B,A,C,無明,須彌,不以,菩薩淨土,菩薩佛土
3,T0220,《大般若波羅蜜多經》,經典類,T0220,唐 玄奘譯,唐,般若部類,600卷12會,A,B,C,大菩提,般若波羅蜜多,般若波羅蜜多,色即是空,般若波羅蜜多
4,T0262,《妙法蓮華經》,經典類,T0262,姚秦 鳩摩羅什譯,姚秦,法華部類,7卷28品,B,C,D,散亂心,二乘,一大事因緣,得佛來,諸法實相
5,T0374,《大般涅槃經》,經典類,T0374,北涼 曇無讖譯,北涼,涅槃部類,40卷13品,C,"B

本品為《大般涅槃經》〈如來性品第四之一〉，核心內容確實包含：

1. **四相義的闡釋**（自正、正他、能隨問答、善解因緣義）
2. **斷肉戒的制定**（迦葉菩薩問食肉事，佛陀明確禁止）
3. **如來常住不變的論證**（回應對如來無常的質疑）

選項A描述的是《維摩詰經》〈菩薩品〉的內容
選項C描述的是《十住經》初歡喜地的內容
選項D描述的是《維摩詰經》〈入不二法門品〉的內容",A,阿耨多羅三藐三菩提,常住,優婆塞,有,涅槃
6,T2008,《六祖大師法寶壇經》,經典類,T2008,元 宗寶編,元,禪宗部類,全1卷10品,B,A,D,佛性,菩提,無相,體,自性
7,T0099,《雜阿含經》,經典類,T0099,劉宋 求那跋陀羅譯,劉宋,阿含部類,50卷,A,"C

本卷核心為「五蘊無常觀」，這是《雜阿含經》卷一的主要教法。經文反覆闡述色、受、想、行、識五蘊皆無常、苦、空、非我，教導透過正觀五蘊無常而生厭離、離欲、解脫，最終證得阿羅漢果位。",D,成等正覺,純大苦聚滅,中道,古仙人道,識名色
8,T0125,《增壹阿含經》,經典類,T0125,東晉 瞿曇僧伽提婆譯,東晉,阿含部類,51卷52品,A,D,A,三解脱门,結跏趺坐,涅槃,內觀,諸佛教
9,T1509,《大智度論》,論典類,T1509,龍樹菩薩造 後秦 鳩摩羅什譯,後秦,般若部類,100卷90品,A,"C

《大智度論》卷一的主要內容是解釋《大品般若經》經首「如是我聞一時」等語，論主龍樹菩薩詳細闡釋這些看似簡單的字詞背後的深刻佛法義理。

選項A描述的是《中論》的內容，論述八不中道和破四生、四緣的論證。

選項B也是《中論》的論證風格，著重破斥四生（自生、他生、共生、無因生）和四緣。

選項C正確描述了《大智度論》卷一的內容：解釋「如是」表信心、「我」字的假名義、「聞」的因緣和合、「一」的非一非異、「時」的假立等，這正是該論卷一的特色。

選項D描述的是禪宗或如來藏系統的守心法門，不是《大智度論》卷一的內容。","D

本品（《大智度論》卷一）為全論綱領，確立般若經核心地位，說明般若為諸佛母、一切智之本。四悉檀判教、長爪梵志論辯公案、經首五字詮釋等內容，奠定全論以中觀方法解釋般若之基調，是理解論主思想與般若學的關鍵文獻。",無作無作者,四種悉檀,心行處滅,如是我聞,不受不著
10,T1564,《中論》,論典類,T1564,龍樹菩薩造 梵志青目釋 姚秦 鳩摩羅什譯,姚秦,中觀部類,4卷27品,B,A,"B

本品為《中論》首品，開宗明義提出「八不中道」（不生不滅、不常不斷、不一不異、不來不出），奠定全論破立基礎，是龍樹中觀思想的核心綱領。",空性,二諦,諸法,他生,中道義
11,T0360,《佛說無量壽經》,經典類,T0360,曹魏 康僧鎧譯,曹魏,淨土宗部類,上下2卷,D,"C

本經《佛說無量壽經》卷上的核心內容是阿彌陀佛因地修行與極樂世界的建立。選項C正確描述了：

1. 法藏比丘（阿彌陀佛因地）在世自在王佛前發四十八大願
2. 極樂世界的依正莊嚴（國土特色、佛光壽命、往生條件等）
3. 念佛往生的核心法門（至心信樂乃至十念）
4. 淨土的殊勝功德（無三惡道、七寶莊嚴、自然快樂等）

其他選項均非本經內容：
- A是《般若波羅蜜多心經》
- B是《地藏菩薩本願經》
- D是《大般涅槃經》",D,無礙光佛,一生補處,十念,無上正真道,兆載永劫
12,T0366,《佛說阿彌陀經》,經典類,T0366,姚秦 鳩摩羅什譯,姚秦,淨土宗部類,全1卷不分品,C,A,A,十萬億佛土,善根福德因緣,阿耨多羅三藐三菩提,一心不亂,極樂
