No.,經號,經名,經典類別,經文基本資料_0_經號,經文基本資料_1_作譯者,經文基本資料_2_朝代,經文基本資料_3_部類,經文基本資料_4_經文結構,經文摘要_0,經文摘要_1,經文摘要_2,全文內容_0,全文內容_1,全文內容_2,全文內容_3,全文內容_4
1,T0279,《大方廣佛華嚴經》(80卷本),經典類,T0279,唐 實叉難陀譯,唐,華嚴部類,七處九會39品,D,A,C,諸佛如來,法界,普遍清淨,一切眾生,無所染
2,T0475,《維摩詰所說經》,經典類,T0475,姚秦 鳩摩羅什譯,姚秦,中觀部類,全1卷32分,B,A,C,無明,須彌山,不,道場,菩薩佛土
3,T0220,《大般若波羅蜜多經》,經典類,T0220,唐 玄奘譯,唐,般若部類,600卷12會,B,B,C,無上智,空性,般若波羅蜜多,色不異空,般若波羅蜜多
4,T0262,《妙法蓮華經》,經典類,T0262,姚秦 鳩摩羅什譯,姚秦,法華部類,7卷28品,B,C,D,見佛塔,二乘,一大事因緣,無量劫,諸法實相
5,T0374,《大般涅槃經》,經典類,T0374,北涼 曇無讖譯,北涼,涅槃部類,40卷13品,C,A,A,無上菩提,常樂,惡人,有,解脫
6,T2008,《六祖大師法寶壇經》,經典類,T0251,元 宗寶編,唐,禪宗部類,1 部儀軌，全 1 卷 10 品,B,A,D,佛性,菩提,無相,體,自性
7,T0099,《雜阿含經》,經典類,T0099,劉宋 求那跋陀羅譯,劉宋,阿含部類,100卷90品,A,C,D,自證知已,如是如是,中道,古仙人道,名色
8,T0125,《增壹阿含經》,經典類,T0125,東晉 瞿曇僧伽提婆譯,東晉,阿含部類,50卷,A,D,A,八正道,正念相續,無上,觀,諸佛世尊
9,T1509,《大智度論》,論典類,T0223,龍樹菩薩造 後秦 鳩摩羅什譯,後秦,般若部類,100 卷 90 品,A,A,D,無作者,四悉檀,無所住,信為能入，智為能度。,一切法
10,T1564,《中論》,論典類,T1564,龍樹菩薩造 梵志青目釋 姚秦 鳩摩羅什譯,姚秦,中觀部類,4卷27品,B,A,B,因緣,二諦,諸法,他生,中道實相
11,T0360,《佛說無量壽經》,經典類,T0361,曹魏 康僧鎧譯,曹魏,淨土宗部類,4卷27品,D,C,D,無礙光佛,無上道,十念,無上道心,劫海
12,T0366,《佛說阿彌陀經》,經典類,T0366,姚秦 鳩摩羅什譯,姚秦,淨土宗部類,全1卷不分品,C,A,A,十萬億土,善根福德因緣,阿耨多羅三藐三菩提,一心不亂,極樂世界
13,T0412,《地藏菩薩本願經》,經典類,T0412,唐 實叉難陀譯,唐,本緣部類,上下2卷13品,D,B,B,眾生,輪迴生死,一切眾生,無間地獄,七分
14,T0450,《藥師琉璃光如來本願功德經》,經典類,T0451,唐 玄奘譯,唐,經集部類,全1卷不分品,C,B,B,貧窮,無上菩提,藥師琉璃光如來,五色長幡,本願力
15,T0945,《大佛頂如來密因修證了義諸菩薩萬行首楞嚴經》,經典類,T1799,唐 般剌蜜帝譯,唐,密教部類,10 卷,D,B,D,三摩地,妙湛總持,反聞聞自性,三摩地,無生法忍
