No.,經號,經名,經典類別,經文基本資料_0_經號,經文基本資料_1_作譯者,經文基本資料_2_朝代,經文基本資料_3_部類,經文基本資料_4_經文結構,經文摘要_0,經文摘要_1,經文摘要_2,全文內容_0,全文內容_1,全文內容_2,全文內容_3,全文內容_4
1,T0279,《大方廣佛華嚴經》(80卷本),經典類,T0279,唐 實叉難陀譯,唐,華嚴部類,七處九會39品,D,B,A,諸佛世尊,法界,遍一切處,毛孔,無量功德
2,T0475,《維摩詰所說經》,經典類,T0475,姚秦 鳩摩羅什譯,姚秦,經集部類,3卷14品,B,A,C,無明,須彌山,如法如法如法,淨土,淨土
3,T0220,《大般若波羅蜜多經》,經典類,T0220,唐 玄奘譯,唐,般若部類,600卷12會,A,B,C,善趣中,般若波羅蜜多,般若波羅蜜,即是空,般若波羅蜜多
4,T0262,《妙法蓮華經》,經典類,T0262,姚秦 鳩摩羅什譯,姚秦,法華部類,7卷28品,B,C,D,恭敬禮拜,乘,一大事因緣,成佛,實相
5,T0374,《大般涅槃經》,經典類,T0374,北涼 曇無讖譯,劉宋,涅槃部類,40卷13品,C,A,A,阿耨多羅三藐三菩提,常住,護法者,無常,真我
6,T2008,《六祖大師法寶壇經》,經典類,T0251,元 宗寶編,唐,禪宗部類,全1卷10品,B,A,D,性雖有南北，佛性本無南北；獵獠身與和尚不同，佛性有何差別？,菩提,無相,體,自性
7,T0099,《雜阿含經》,經典類,T0099,劉宋 求那跋陀羅譯,劉宋,阿含部類,100卷90品,A,C,D,如實知見,如是純大苦聚滅,中道,八正道,名色
8,T0125,《增壹阿含經》,經典類,T0125,東晉 瞿曇僧伽提婆譯,東晉,阿含部類,51卷52品,B,D,A,三昧,端坐思惟,寂滅,內觀身；內觀痛；內觀意；內觀法,其意
9,T1509,《大智度論》,論典類,T1509,後秦 鳩摩羅什譯,後秦,般若部類,100卷90品,A,A,D,不失不壞,四種,不可得,方便,五陰
10,T1564,《中論》,論典類,T1564,龍樹菩薩造 梵志青目釋 姚秦 鳩摩羅什譯,姚秦,中觀部類,4卷27品,B,A,B,因果,二諦,諸法,他因,中道
11,T0360,《佛說無量壽經》,經典類,T0361,曹魏 康僧鎧譯,曹魏,淨土宗部類,上下2卷,D,C,D,無礙光,一生補處,十念,無上心,功德
