composite_key,bg_1,bg_2,bg_3,bg_4,bg_5,sm_1,sm_2,sm_3,ft_1,ft_2,ft_3,ft_4,ft_5
T0279|《大方廣佛華嚴經》(80卷本),T0279,唐 實叉難陀譯,唐,華嚴部類,七處九會39品,D,C,C,毘盧遮那如來,三昧,普順十方國土,如來功德大海,常寂滅
T0475|《維摩詰所說經》,T0475,姚秦 鳩摩羅什譯,姚秦,經集部類,3卷14品,B,A,C,癡,須彌,不著,菩薩淨土,菩薩佛土
T0220|《大般若波羅蜜多經》,T0220,唐 玄奘譯,唐,般若部類,600卷12會,A,B,C,般涅槃,般若波羅蜜多,般若波羅蜜多,色即是空,般若波羅蜜多
T0262|《妙法蓮華經》,T0262,姚秦 鳩摩羅什譯,姚秦,法華部類,7卷28品,B,C,D,散亂心,二乘,一大事因緣,得佛來,諸法實相
T0374|《大般涅槃經》,T0374,北涼 曇無讖譯,北涼,涅槃部類,40卷13品,C,B,A,阿耨多羅三藐三菩提,常法,護持正法,無常,涅槃
T2008|《六祖大師法寶壇經》,T2008,元 宗寶編,元,禪宗部類,全1卷10品,B,A,D,佛性,菩提,無相,體,自性
T0099|《雜阿含經》,T0099,劉宋 求那跋陀羅譯,劉宋,阿含部類,50卷,A,C,D,成等正覺,純大苦聚滅,中道,古仙人道,識緣名色
T0125|《增壹阿含經》,T0125,東晉 瞿曇僧伽提婆譯,東晉,阿含部類,51卷52品,A,D,A,三解脫門,結跏趺坐,涅槃,內觀,諸佛教
T1509|《大智度論》,T1509,龍樹菩薩造 後秦 鳩摩羅什譯,後秦,般若部類,100卷90品,A,C,D,無作業果者,四種悉檀,心行處滅,佛法大海,一切法不受
T1564|《中論》,T1564,龍樹菩薩造 梵志青目釋 姚秦 鳩摩羅什譯,姚秦,中觀部類,4卷27品,B,A,B,空義,二諦,不生,他生,中道義
T0360|《佛說無量壽經》,T0360,曹魏 康僧鎧譯,曹魏,淨土宗部類,上下2卷,D,C,D,無礙光佛,一生補處,十念,無上正真道意,兆載永劫
